STATE_NAME,region
Wyoming,West
Wisconsin,Midwest
West Virginia,South
Washington,West
Virginia,South
Vermont,Northeast
Utah,West
Texas,South
Tennessee,South
South Dakota,Midwest
South Carolina,South
Rhode Island,Northeast
Pennsylvania,Northeast
Oregon,West
Oklahoma,South
Ohio,Midwest
North Dakota,Midwest
North Carolina,South
New York,Northeast
New Mexico,West
New Jersey,Northeast
New Hampshire,Northeast
Nevada,West
Nebraska,Midwest
Montana,West
Missouri,Midwest
Mississippi,South
Minnesota,Midwest
Michigan,Midwest
Massachusetts,Northeast
Maryland,Northeast
Maine,Northeast
Louisiana,South
Kentucky,South
Kansas,Midwest
Iowa,Midwest
Indiana,Midwest
Illinois,Midwest
Idaho,West
Georgia,South
Florida,South
Delaware,South
Connecticut,Northeast
Colorado,West
California,West
Arkansas,South
Arizona,West
Alabama,South